name,Hmag,status,family1,dv_fam1,near1,family2,dv_fam2,near2,rescod
20,6.47,3,20,0.0,0,0,0.0,0,0
25,7.81,3,25,0.0,0,0,0.0,0,0
31,6.78,3,31,0.0,0,0,0.0,0,0
93,7.78,3,93,0.0,0,0,0.0,0,0
96,7.59,3,96,0.0,0,0,0.0,0,0
110,7.77,3,110,0.0,0,0,0.0,0,0
135,8.15,3,135,0.0,0,0,0.0,0,0
142,10.11,3,135,0.0,0,0,0.0,0,0
148,7.63,3,148,0.0,0,0,0.0,0,0
159,8.25,1,159,0.0,0,0,0.0,0,0
179,8.12,3,179,0.0,0,0,0.0,0,0
255,10.21,3,93,0.0,0,0,0.0,0,0
290,11.89,3,25,0.0,0,0,0.0,0,0
323,9.49,3,25,0.0,0,0,0.0,0,0
326,9.29,3,25,0.0,0,0,0.0,0,0
363,8.93,3,110,0.0,0,0,0.0,0,0
375,7.46,3,375,0.0,0,0,0.0,0,0
396,10.0,1,396,0.0,0,0,0.0,0,0
480,8.3,3,480,0.0,0,0,0.0,0,0
490,8.47,3,490,0.0,0,0,0.0,0,5-2-2
502,10.78,3,25,0.0,0,0,0.0,0,0
569,10.05,1,569,0.0,0,0,0.0,0,0
587,11.86,3,25,0.0,0,0,0.0,0,0
650,12.52,3,135,0.0,0,0,0.0,0,0
752,10.16,3,752,0.0,0,0,0.0,0,0
808,9.66,3,808,0.0,0,0,0.0,0,0
852,9.94,3,25,0.0,0,0,0.0,0,0
878,14.56,3,135,0.0,0,0,0.0,0,0
883,12.54,3,883,0.0,0,0,0.0,0,0
895,8.38,3,895,0.0,0,0,0.0,0,0
909,8.54,3,909,0.0,0,0,0.0,0,0
973,10.0,3,375,0.0,0,0,0.0,0,0
1070,10.65,3,375,0.0,0,0,0.0,0,0
1086,9.49,3,490,0.0,0,0,0.0,0,0
1118,9.7,3,1118,0.0,0,0,0.0,0,0
1128,10.68,1,1128,0.0,0,0,0.0,0,0
1164,12.71,3,25,0.0,0,0,0.0,0,0
1183,12.29,1,135,0.0,0,0,0.0,0,0
1272,12.84,3,93,0.0,0,0,0.0,0,0
1303,9.36,3,1303,0.0,0,0,0.0,0,0
1306,9.46,3,375,0.0,0,0,0.0,0,0
1318,12.13,3,25,0.0,0,0,0.0,0,0
1327,11.94,3,808,0.0,0,0,0.0,0,0
1365,11.78,3,883,0.0,0,0,0.0,0,0
1367,11.94,3,25,0.0,0,0,0.0,0,0
1433,11.54,3,93,0.0,0,0,0.0,0,0
1547,10.68,1,1547,0.0,0,0,0.0,0,0
1567,9.6,3,375,0.0,0,0,0.0,0,0
1568,11.61,3,25,0.0,0,0,0.0,0,0
1575,11.76,3,25,0.0,0,0,0.0,0,0
1591,11.31,3,25,0.0,0,0,0.0,0,0
1657,12.67,3,25,0.0,0,0,0.0,0,0
